"no_of_dependents","education","self_employed","income_annum","loan_amount","loan_term","cibil_score","residential_assets_value","commercial_assets_value","luxury_assets_value","bank_asset_value","loan_status"
0.0,"1","0",5300000.0,1.95E7,12.0,802.0,9800000.0,3300000.0,1.52E7,3200000.0,"1"
3.0,"1","0",6500000.0,2.52E7,10.0,858.0,1.54E7,1.09E7,1.4E7,8100000.0,"1"
2.0,"1","0",5900000.0,1.4E7,8.0,599.0,4700000.0,9500000.0,1.78E7,6700000.0,"1"
4.0,"1","1",9800000.0,2.7E7,2.0,395.0,1.87E7,3000000.0,2.3E7,9700000.0,"0"
3.0,"1","1",7700000.0,1.62E7,6.0,380.0,1.15E7,1.51E7,2.25E7,6400000.0,"0"
1.0,"1","0",7900000.0,2.71E7,10.0,803.0,2.0E7,9800000.0,2.22E7,6600000.0,"1"
4.0,"1","0",3500000.0,8900000.0,20.0,809.0,7100000.0,1500000.0,1.37E7,3200000.0,"1"
4.0,"0","0",2400000.0,6600000.0,2.0,722.0,6100000.0,3300000.0,5600000.0,3000000.0,"1"
5.0,"1","0",9900000.0,3.57E7,10.0,392.0,7900000.0,4300000.0,3.92E7,1.3E7,"0"
0.0,"1","0",3900000.0,1.45E7,8.0,545.0,5900000.0,3000000.0,1.03E7,3400000.0,"0"
2.0,"0","1",7300000.0,2.85E7,10.0,799.0,2.15E7,3100000.0,1.58E7,4300000.0,"1"
0.0,"1","1",6400000.0,2.19E7,12.0,727.0,1.54E7,1.01E7,2.4E7,5300000.0,"1"
4.0,"1","0",7100000.0,1.98E7,18.0,530.0,7100000.0,3400000.0,2.09E7,7100000.0,"0"
2.0,"0","0",8800000.0,1.9E7,14.0,637.0,1.37E7,1.39E7,2.71E7,6100000.0,"1"
5.0,"1","0",7400000.0,2.1E7,4.0,561.0,2.13E7,3800000.0,2.64E7,3900000.0,"1"
2.0,"0","0",4400000.0,1.2E7,20.0,421.0,9300000.0,2700000.0,1.57E7,3400000.0,"0"
3.0,"1","1",8600000.0,3.03E7,14.0,459.0,1.2E7,4100000.0,2.38E7,9100000.0,"0"
3.0,"0","0",6900000.0,2.6E7,14.0,828.0,1.48E7,4200000.0,1.85E7,3600000.0,"1"
4.0,"1","0",9600000.0,2.75E7,20.0,679.0,2.34E7,7500000.0,3.78E7,6300000.0,"1"
2.0,"1","1",8100000.0,2.57E7,8.0,455.0,2.23E7,1.15E7,1.98E7,9500000.0,"0"
0.0,"0","0",2600000.0,9400000.0,18.0,879.0,2800000.0,1400000.0,5100000.0,2300000.0,"1"
3.0,"1","1",9300000.0,2.61E7,14.0,636.0,4700000.0,1.61E7,3.45E7,1.16E7,"1"
2.0,"0","1",2100000.0,5600000.0,16.0,426.0,400000.0,300000.0,7100000.0,1200000.0,"0"
4.0,"0","1",9000000.0,2.15E7,14.0,508.0,1.66E7,1.73E7,2.43E7,1.31E7,"0"
3.0,"0","1",7000000.0,1.92E7,4.0,768.0,8600000.0,1.37E7,1.92E7,7700000.0,"1"
3.0,"0","0",2200000.0,6400000.0,20.0,667.0,6300000.0,3900000.0,8300000.0,2900000.0,"1"
5.0,"1","1",7500000.0,2.82E7,2.0,440.0,8200000.0,5800000.0,2.44E7,6000000.0,"1"
1.0,"1","1",8300000.0,1.68E7,2.0,366.0,2.2E7,6600000.0,2.73E7,4500000.0,"0"
2.0,"0","0",300000.0,600000.0,2.0,383.0,600000.0,300000.0,1100000.0,400000.0,"0"
0.0,"0","1",300000.0,800000.0,4.0,603.0,800000.0,200000.0,600000.0,200000.0,"1"
3.0,"1","0",3900000.0,1.49E7,4.0,728.0,4700000.0,4000000.0,1.49E7,5500000.0,"1"
0.0,"0","0",6600000.0,2.03E7,6.0,549.0,1.08E7,900000.0,2.31E7,9800000.0,"0"
0.0,"1","0",4100000.0,1.07E7,8.0,855.0,1.15E7,700000.0,1.12E7,3100000.0,"1"
5.0,"1","1",1800000.0,5300000.0,12.0,461.0,2800000.0,2000000.0,4700000.0,2000000.0,"0"
3.0,"0","1",7000000.0,1.61E7,16.0,379.0,2000000.0,5200000.0,2.3E7,1.0E7,"0"
2.0,"0","1",5100000.0,1.37E7,6.0,559.0,7800000.0,9800000.0,1.27E7,5100000.0,"1"
1.0,"0","1",300000.0,600000.0,8.0,816.0,600000.0,300000.0,1100000.0,200000.0,"1"
4.0,"0","1",4300000.0,1.14E7,2.0,560.0,1.0E7,3900000.0,8900000.0,3300000.0,"1"
0.0,"1","1",3200000.0,1.2E7,14.0,645.0,5200000.0,1400000.0,1.21E7,3400000.0,"1"
4.0,"0","1",4200000.0,1.15E7,6.0,551.0,1.06E7,7600000.0,1.13E7,5000000.0,"1"
0.0,"0","1",9600000.0,2.29E7,8.0,515.0,4300000.0,1.47E7,3.33E7,7800000.0,"0"
4.0,"1","0",1300000.0,3600000.0,10.0,657.0,3200000.0,1900000.0,2900000.0,1100000.0,"1"
3.0,"0","0",2400000.0,9300000.0,2.0,682.0,3100000.0,4400000.0,5200000.0,1500000.0,"1"
0.0,"1","0",600000.0,1600000.0,10.0,588.0,1600000.0,100000.0,1100000.0,300000.0,"1"
5.0,"1","1",9600000.0,3.8E7,10.0,359.0,2100000.0,1.36E7,3.82E7,9400000.0,"0"
0.0,"1","0",400000.0,1200000.0,4.0,766.0,900000.0,300000.0,1200000.0,300000.0,"1"
4.0,"1","0",5900000.0,1.99E7,14.0,469.0,1.42E7,6800000.0,2.21E7,3200000.0,"0"
0.0,"1","1",700000.0,1400000.0,10.0,618.0,1300000.0,200000.0,1700000.0,500000.0,"1"
0.0,"0","1",8600000.0,1.77E7,20.0,711.0,2.2E7,0.0,3.08E7,7400000.0,"1"
0.0,"1","1",9000000.0,3.4E7,4.0,549.0,2000000.0,8900000.0,2.0E7,1.24E7,"1"
3.0,"1","1",5100000.0,2.04E7,6.0,754.0,1700000.0,2600000.0,1.18E7,7600000.0,"1"
4.0,"0","1",500000.0,1500000.0,6.0,461.0,1300000.0,500000.0,1700000.0,200000.0,"0"
2.0,"1","0",1600000.0,3800000.0,10.0,837.0,3800000.0,1100000.0,5500000.0,1600000.0,"1"
0.0,"1","1",9800000.0,2.39E7,14.0,459.0,1000000.0,1.34E7,2.11E7,7200000.0,"0"
4.0,"1","0",7800000.0,2.97E7,20.0,614.0,2.2E7,700000.0,2.68E7,6300000.0,"1"
4.0,"0","0",6500000.0,2.4E7,16.0,373.0,5600000.0,5100000.0,1.56E7,6700000.0,"0"
5.0,"1","1",7500000.0,2.65E7,12.0,512.0,1.65E7,2900000.0,2.37E7,6000000.0,"0"
4.0,"1","1",8900000.0,2.34E7,18.0,781.0,1.65E7,3100000.0,2.49E7,5800000.0,"1"
4.0,"1","1",1800000.0,5800000.0,14.0,305.0,600000.0,3300000.0,3600000.0,2000000.0,"0"
1.0,"0","1",7600000.0,2.78E7,6.0,447.0,1300000.0,700000.0,2.01E7,1.09E7,"0"
4.0,"1","1",1200000.0,4600000.0,6.0,757.0,1900000.0,200000.0,4800000.0,1500000.0,"1"
5.0,"1","1",2700000.0,1.04E7,2.0,723.0,2800000.0,700000.0,1.03E7,1400000.0,"1"
1.0,"0","1",4600000.0,1.09E7,12.0,463.0,1200000.0,1200000.0,1.09E7,6600000.0,"0"
2.0,"0","0",6900000.0,1.87E7,10.0,699.0,1.28E7,5700000.0,2.12E7,5200000.0,"1"
4.0,"1","1",8400000.0,2.52E7,2.0,308.0,8100000.0,9300000.0,2.77E7,1.05E7,"1"
0.0,"1","0",300000.0,500000.0,18.0,702.0,300000.0,400000.0,1200000.0,100000.0,"1"
2.0,"0","1",9500000.0,3.75E7,4.0,456.0,1.02E7,1.68E7,3.41E7,1.29E7,"1"
3.0,"1","1",1900000.0,5900000.0,8.0,651.0,700000.0,2100000.0,6200000.0,1500000.0,"1"
3.0,"0","0",4200000.0,1.45E7,20.0,840.0,4500000.0,5900000.0,8900000.0,4600000.0,"1"
4.0,"1","1",2200000.0,7900000.0,18.0,848.0,5100000.0,1700000.0,8500000.0,1600000.0,"1"
5.0,"1","1",7100000.0,1.97E7,4.0,727.0,7700000.0,1.29E7,2.36E7,5800000.0,"1"
4.0,"1","0",3500000.0,1.16E7,10.0,335.0,6300000.0,5200000.0,1.03E7,2300000.0,"0"
5.0,"0","0",400000.0,800000.0,18.0,304.0,900000.0,500000.0,1400000.0,400000.0,"0"
2.0,"1","1",8800000.0,3.44E7,2.0,712.0,1.05E7,1.25E7,2.93E7,5900000.0,"1"
0.0,"0","0",1800000.0,6600000.0,10.0,737.0,5000000.0,2000000.0,6000000.0,1500000.0,"1"
1.0,"1","1",7600000.0,2.93E7,14.0,690.0,1.39E7,4000000.0,3.0E7,9100000.0,"1"
1.0,"1","1",1000000.0,3200000.0,4.0,888.0,2000000.0,1500000.0,2200000.0,1300000.0,"1"
2.0,"0","1",8200000.0,2.72E7,10.0,839.0,9200000.0,6400000.0,2.55E7,6000000.0,"1"
5.0,"0","1",3600000.0,1.24E7,8.0,333.0,8800000.0,1000000.0,1.07E7,4000000.0,"0"
5.0,"1","0",9400000.0,2.37E7,18.0,862.0,2.15E7,3500000.0,2.24E7,5600000.0,"1"
5.0,"0","0",2600000.0,9100000.0,4.0,309.0,6400000.0,1400000.0,5900000.0,3400000.0,"1"
5.0,"0","0",9500000.0,3.07E7,10.0,823.0,1.63E7,3700000.0,3.03E7,1.31E7,"1"
0.0,"1","1",3500000.0,1.17E7,14.0,649.0,2700000.0,700000.0,1.14E7,4800000.0,"1"
5.0,"0","1",9800000.0,3.57E7,10.0,726.0,9400000.0,1.89E7,3.12E7,1.2E7,"1"
4.0,"1","0",800000.0,3100000.0,18.0,712.0,400000.0,700000.0,1900000.0,1100000.0,"1"
0.0,"0","0",9700000.0,3.73E7,20.0,701.0,1.21E7,1.62E7,2.41E7,1.05E7,"1"
3.0,"1","0",6200000.0,2.13E7,12.0,655.0,6500000.0,1.16E7,1.92E7,5000000.0,"1"
1.0,"0","1",4400000.0,1.66E7,18.0,385.0,800000.0,5300000.0,1.34E7,5100000.0,"0"
2.0,"1","0",1800000.0,3800000.0,4.0,777.0,5100000.0,2700000.0,4600000.0,1400000.0,"1"
3.0,"1","0",1700000.0,5300000.0,14.0,696.0,300000.0,700000.0,4500000.0,800000.0,"1"
3.0,"1","0",3900000.0,1.41E7,16.0,496.0,2500000.0,2200000.0,1.37E7,2900000.0,"0"
2.0,"1","1",2200000.0,7900000.0,6.0,659.0,3400000.0,1800000.0,8600000.0,2400000.0,"1"
3.0,"0","1",6300000.0,1.77E7,2.0,542.0,1.68E7,900000.0,1.64E7,5300000.0,"0"
2.0,"0","0",2200000.0,8700000.0,18.0,729.0,3900000.0,3300000.0,7600000.0,1300000.0,"1"
1.0,"1","0",8100000.0,2.84E7,6.0,744.0,2.03E7,1.05E7,2.18E7,7700000.0,"1"
4.0,"0","0",6800000.0,1.7E7,2.0,749.0,1.8E7,3800000.0,2.71E7,9400000.0,"1"
0.0,"1","0",4700000.0,1.48E7,20.0,755.0,1.23E7,5000000.0,1.54E7,3700000.0,"1"
3.0,"1","1",2200000.0,5300000.0,2.0,506.0,1600000.0,1700000.0,5800000.0,2800000.0,"0"
3.0,"1","1",3500000.0,1.3E7,6.0,391.0,6100000.0,3500000.0,1.33E7,4300000.0,"0"
1.0,"0","1",3500000.0,1.16E7,10.0,898.0,3100000.0,2700000.0,9000000.0,4500000.0,"1"
5.0,"0","0",500000.0,1500000.0,12.0,527.0,100000.0,600000.0,1100000.0,200000.0,"0"
5.0,"0","0",9900000.0,3.58E7,20.0,470.0,9500000.0,1.84E7,3.91E7,1.47E7,"0"
1.0,"1","0",8400000.0,2.5E7,12.0,694.0,5300000.0,1.49E7,2.3E7,7700000.0,"1"
1.0,"1","0",5000000.0,1.88E7,14.0,325.0,1.31E7,5700000.0,1.28E7,4300000.0,"0"
4.0,"0","1",5500000.0,1.34E7,10.0,880.0,300000.0,800000.0,1.99E7,2800000.0,"1"
5.0,"1","1",3000000.0,1.19E7,14.0,459.0,6000000.0,4800000.0,1.17E7,4200000.0,"0"
3.0,"0","1",9400000.0,2.14E7,10.0,323.0,5100000.0,1.55E7,2.96E7,1.13E7,"0"
4.0,"1","0",7600000.0,2.9E7,8.0,739.0,2.21E7,8100000.0,2.21E7,8800000.0,"1"
0.0,"0","1",5500000.0,1.63E7,10.0,724.0,1.19E7,1500000.0,1.19E7,6200000.0,"1"
1.0,"1","0",3100000.0,7400000.0,18.0,487.0,8400000.0,1200000.0,9200000.0,4500000.0,"0"
3.0,"1","0",7700000.0,2.77E7,4.0,439.0,1.39E7,7500000.0,2.71E7,6200000.0,"1"
2.0,"1","0",9800000.0,2.54E7,2.0,655.0,1.99E7,4600000.0,2.13E7,7900000.0,"1"
3.0,"0","0",3200000.0,9200000.0,14.0,443.0,3300000.0,1100000.0,7200000.0,4500000.0,"0"
2.0,"1","0",700000.0,2600000.0,20.0,489.0,100000.0,200000.0,2400000.0,900000.0,"0"
4.0,"0","1",3100000.0,8600000.0,14.0,427.0,3100000.0,3800000.0,9900000.0,3700000.0,"0"
0.0,"1","1",4500000.0,1.05E7,20.0,417.0,9800000.0,2000000.0,9600000.0,5800000.0,"0"
5.0,"0","1",8900000.0,2.48E7,18.0,842.0,1.62E7,5000000.0,2.0E7,8100000.0,"1"
3.0,"0","0",5900000.0,2.32E7,2.0,307.0,1.55E7,1.0E7,2.11E7,6300000.0,"1"
2.0,"0","0",1500000.0,4500000.0,18.0,428.0,4500000.0,1200000.0,5600000.0,1100000.0,"0"
4.0,"0","1",6300000.0,1.52E7,16.0,415.0,1.55E7,1800000.0,2.07E7,7900000.0,"0"
3.0,"0","1",6500000.0,1.82E7,20.0,405.0,1.04E7,2800000.0,2.13E7,6700000.0,"0"
4.0,"1","0",8000000.0,3.15E7,18.0,683.0,1.03E7,7900000.0,3.01E7,9600000.0,"1"
1.0,"1","1",3300000.0,1.06E7,14.0,742.0,300000.0,600000.0,8400000.0,4500000.0,"1"
4.0,"0","0",3900000.0,1.0E7,10.0,530.0,1.09E7,200000.0,1.23E7,1900000.0,"0"
3.0,"1","0",1600000.0,3500000.0,10.0,844.0,4500000.0,2200000.0,5200000.0,1600000.0,"1"
2.0,"0","1",3900000.0,1.39E7,18.0,715.0,5000000.0,5600000.0,9900000.0,2100000.0,"1"
3.0,"1","1",8000000.0,2.63E7,12.0,476.0,2.17E7,6600000.0,1.64E7,9000000.0,"0"
2.0,"1","0",2200000.0,4800000.0,6.0,721.0,1800000.0,100000.0,6900000.0,2200000.0,"1"
4.0,"0","0",7600000.0,3.03E7,12.0,339.0,2.04E7,8000000.0,2.22E7,5800000.0,"0"
5.0,"0","1",2700000.0,6800000.0,6.0,461.0,4500000.0,2000000.0,8200000.0,1700000.0,"0"
2.0,"1","1",6300000.0,2.32E7,12.0,556.0,7000000.0,8300000.0,2.42E7,5300000.0,"1"
3.0,"0","0",7700000.0,1.87E7,8.0,483.0,1.51E7,5600000.0,2.46E7,1.02E7,"0"
2.0,"1","0",4500000.0,1.72E7,18.0,406.0,4100000.0,6300000.0,1.38E7,3300000.0,"0"
2.0,"1","1",9400000.0,2.48E7,14.0,513.0,2.42E7,1.82E7,3.72E7,7500000.0,"0"
0.0,"0","0",4600000.0,1.26E7,16.0,574.0,3400000.0,6200000.0,1.51E7,3600000.0,"1"
0.0,"1","1",5200000.0,1.57E7,6.0,692.0,3800000.0,7000000.0,1.28E7,5500000.0,"1"
5.0,"1","1",8000000.0,2.98E7,18.0,867.0,1.77E7,1.41E7,2.28E7,9200000.0,"1"
1.0,"0","1",9900000.0,3.85E7,2.0,875.0,1.96E7,2900000.0,2.02E7,6500000.0,"1"
4.0,"1","1",8500000.0,1.86E7,10.0,597.0,1.66E7,3200000.0,2.1E7,1.16E7,"1"
2.0,"1","1",4900000.0,1.2E7,20.0,513.0,1.42E7,8100000.0,1.83E7,4800000.0,"0"
3.0,"1","1",7000000.0,2.42E7,2.0,354.0,1.82E7,7000000.0,1.59E7,7900000.0,"1"
2.0,"0","0",9600000.0,2.59E7,18.0,647.0,1.18E7,9900000.0,3.56E7,1.15E7,"1"
1.0,"1","0",9700000.0,2.37E7,6.0,875.0,1.15E7,1.44E7,3.81E7,1.04E7,"1"
1.0,"1","0",6200000.0,1.43E7,20.0,819.0,7500000.0,1.17E7,1.67E7,4300000.0,"1"
4.0,"0","1",4100000.0,9600000.0,10.0,521.0,1.19E7,7100000.0,1.41E7,4900000.0,"0"
0.0,"1","1",6100000.0,1.99E7,20.0,761.0,4500000.0,3700000.0,1.27E7,7100000.0,"1"
0.0,"1","0",700000.0,1900000.0,18.0,572.0,1400000.0,1000000.0,2000000.0,300000.0,"1"
3.0,"1","0",6400000.0,2.41E7,12.0,571.0,1.9E7,1.15E7,1.32E7,7500000.0,"1"
4.0,"1","1",3800000.0,7800000.0,20.0,891.0,4600000.0,7000000.0,1.43E7,3300000.0,"1"
1.0,"0","0",4900000.0,1.48E7,12.0,895.0,8600000.0,8200000.0,1.83E7,5200000.0,"1"
2.0,"1","0",2100000.0,6600000.0,20.0,580.0,3800000.0,4100000.0,6200000.0,2100000.0,"1"
2.0,"1","0",6200000.0,2.34E7,8.0,605.0,1.0E7,1.08E7,2.18E7,9200000.0,"1"
4.0,"0","0",1600000.0,5100000.0,8.0,705.0,2400000.0,800000.0,5100000.0,1900000.0,"1"
1.0,"0","1",1300000.0,5000000.0,20.0,423.0,900000.0,800000.0,3900000.0,1600000.0,"0"
5.0,"0","1",7300000.0,2.25E7,2.0,846.0,9800000.0,4700000.0,2.03E7,5700000.0,"1"
2.0,"0","0",2100000.0,5000000.0,4.0,542.0,700000.0,600000.0,6600000.0,3100000.0,"0"
5.0,"0","0",600000.0,2400000.0,18.0,631.0,600000.0,300000.0,2100000.0,900000.0,"1"
4.0,"1","0",7000000.0,2.45E7,18.0,318.0,4300000.0,1700000.0,1.63E7,3600000.0,"0"
1.0,"0","1",3000000.0,6800000.0,10.0,541.0,5800000.0,5700000.0,1.07E7,2900000.0,"0"
1.0,"1","0",900000.0,2900000.0,20.0,782.0,0.0,1500000.0,3500000.0,800000.0,"1"
2.0,"1","0",9600000.0,3.5E7,2.0,888.0,1.26E7,6500000.0,3.79E7,5800000.0,"1"
0.0,"1","0",1500000.0,3600000.0,14.0,747.0,200000.0,1400000.0,3000000.0,1200000.0,"1"
0.0,"1","1",5000000.0,1.89E7,6.0,641.0,4300000.0,8500000.0,1.96E7,6700000.0,"1"
3.0,"1","1",500000.0,1700000.0,4.0,640.0,400000.0,700000.0,1300000.0,200000.0,"1"
4.0,"0","0",7600000.0,2.81E7,12.0,324.0,1.25E7,8500000.0,1.99E7,1.11E7,"0"
4.0,"1","0",5500000.0,2.12E7,20.0,359.0,4200000.0,5300000.0,1.86E7,6400000.0,"0"
0.0,"0","1",6600000.0,2.33E7,12.0,338.0,2400000.0,800000.0,1.89E7,9300000.0,"0"
0.0,"1","0",1400000.0,3200000.0,14.0,384.0,3100000.0,800000.0,3400000.0,2000000.0,"0"
5.0,"0","1",8800000.0,2.66E7,16.0,545.0,1.91E7,1.66E7,3.04E7,7600000.0,"0"
5.0,"0","0",6200000.0,2.42E7,18.0,610.0,1.02E7,7800000.0,1.96E7,8300000.0,"1"
2.0,"1","1",8300000.0,2.79E7,18.0,840.0,1.26E7,3500000.0,1.91E7,9200000.0,"1"
3.0,"0","0",2400000.0,8100000.0,6.0,630.0,5100000.0,2900000.0,9100000.0,2300000.0,"1"
1.0,"1","0",9100000.0,3.12E7,4.0,508.0,1.28E7,1.17E7,3.11E7,7800000.0,"1"
0.0,"0","1",9500000.0,3.49E7,4.0,535.0,800000.0,1.41E7,2.56E7,1.4E7,"1"
1.0,"1","0",1200000.0,3400000.0,20.0,717.0,3100000.0,1500000.0,2500000.0,900000.0,"1"
2.0,"1","1",7700000.0,1.93E7,8.0,735.0,1200000.0,1900000.0,2.38E7,1.04E7,"1"
5.0,"1","1",7800000.0,2.2E7,20.0,528.0,5800000.0,8800000.0,2.47E7,4900000.0,"0"
0.0,"1","1",9400000.0,2.0E7,4.0,350.0,3300000.0,1400000.0,3.72E7,4700000.0,"0"
0.0,"0","0",1700000.0,5700000.0,12.0,422.0,3400000.0,1100000.0,6500000.0,900000.0,"0"
5.0,"1","0",4000000.0,1.37E7,6.0,496.0,-100000.0,1400000.0,1.58E7,3700000.0,"0"
4.0,"0","0",4200000.0,1.55E7,18.0,794.0,7300000.0,700000.0,1.34E7,2200000.0,"1"
2.0,"1","0",2400000.0,7700000.0,6.0,719.0,6000000.0,1700000.0,6700000.0,1600000.0,"1"
3.0,"0","1",2700000.0,6100000.0,14.0,630.0,3900000.0,2800000.0,1.06E7,2300000.0,"1"
3.0,"0","1",600000.0,1800000.0,4.0,843.0,1400000.0,300000.0,1700000.0,400000.0,"1"
2.0,"1","0",4600000.0,1.56E7,2.0,764.0,7700000.0,1500000.0,1.6E7,5800000.0,"1"
3.0,"1","0",7200000.0,1.77E7,4.0,662.0,1.31E7,1.15E7,1.63E7,5300000.0,"1"
0.0,"0","0",4700000.0,1.55E7,16.0,311.0,1.28E7,200000.0,1.75E7,2700000.0,"0"
4.0,"0","0",4300000.0,1.01E7,2.0,606.0,9900000.0,1800000.0,8900000.0,5500000.0,"1"
5.0,"1","0",4700000.0,1.02E7,16.0,874.0,1.08E7,7700000.0,1.11E7,7000000.0,"1"
4.0,"0","1",8700000.0,3.0E7,4.0,370.0,1.76E7,1.56E7,3.46E7,1.21E7,"1"
1.0,"1","0",7000000.0,2.05E7,10.0,414.0,1.97E7,7500000.0,2.07E7,5100000.0,"0"
2.0,"0","0",600000.0,1100000.0,10.0,800.0,1200000.0,200000.0,2300000.0,900000.0,"1"
1.0,"0","0",6800000.0,1.69E7,12.0,779.0,1.38E7,1.02E7,2.34E7,4400000.0,"1"
1.0,"0","0",6400000.0,1.41E7,20.0,553.0,1.17E7,4500000.0,2.0E7,3600000.0,"1"
4.0,"0","0",7600000.0,2.99E7,18.0,445.0,4800000.0,1.39E7,1.84E7,5700000.0,"0"
3.0,"0","0",9000000.0,2.14E7,8.0,496.0,1.64E7,7300000.0,3.18E7,1.25E7,"0"
0.0,"1","1",2400000.0,5900000.0,10.0,650.0,5100000.0,3700000.0,5300000.0,2300000.0,"1"
3.0,"0","0",6800000.0,1.79E7,6.0,783.0,2.0E7,9800000.0,2.36E7,5500000.0,"1"
5.0,"1","1",3500000.0,1.35E7,10.0,535.0,3100000.0,5700000.0,1.25E7,3100000.0,"0"
4.0,"1","1",8900000.0,3.4E7,20.0,415.0,1.35E7,3100000.0,3.36E7,1.28E7,"0"
0.0,"0","0",6000000.0,1.53E7,8.0,709.0,8900000.0,1700000.0,1.64E7,3500000.0,"1"
3.0,"0","0",700000.0,2500000.0,14.0,819.0,1600000.0,1000000.0,2100000.0,900000.0,"1"
0.0,"0","1",6800000.0,1.73E7,18.0,841.0,1.05E7,8600000.0,1.6E7,8700000.0,"1"
4.0,"0","1",5300000.0,1.07E7,12.0,700.0,1.58E7,1900000.0,2.05E7,2900000.0,"1"
1.0,"1","1",1400000.0,4200000.0,4.0,881.0,2800000.0,1200000.0,5100000.0,1300000.0,"1"
2.0,"1","1",1400000.0,4600000.0,4.0,804.0,1900000.0,2200000.0,5200000.0,700000.0,"1"
4.0,"0","0",9200000.0,2.17E7,6.0,653.0,2.27E7,4600000.0,2.94E7,8600000.0,"1"
1.0,"1","1",7900000.0,2.92E7,2.0,663.0,1.96E7,1.21E7,2.86E7,1.01E7,"1"
0.0,"0","0",4500000.0,1.75E7,10.0,495.0,1.03E7,3500000.0,9700000.0,6200000.0,"0"
1.0,"0","0",3800000.0,9800000.0,8.0,335.0,100000.0,5100000.0,1.42E7,1800000.0,"0"
5.0,"1","1",1500000.0,4900000.0,6.0,618.0,3400000.0,1000000.0,3200000.0,900000.0,"1"
3.0,"0","0",1200000.0,2400000.0,12.0,480.0,3000000.0,100000.0,3100000.0,1700000.0,"0"
4.0,"0","0",1700000.0,4900000.0,18.0,843.0,4800000.0,2200000.0,6200000.0,1800000.0,"1"
4.0,"1","0",5200000.0,1.41E7,16.0,483.0,1.18E7,800000.0,1.92E7,2700000.0,"0"
1.0,"0","0",1600000.0,5100000.0,12.0,548.0,2200000.0,2700000.0,3600000.0,800000.0,"0"
4.0,"1","1",6600000.0,1.6E7,16.0,379.0,6500000.0,1.26E7,2.47E7,4500000.0,"0"
5.0,"0","1",9400000.0,2.66E7,20.0,771.0,1.02E7,1.26E7,3.69E7,1.17E7,"1"
4.0,"1","1",300000.0,500000.0,2.0,353.0,600000.0,100000.0,1200000.0,400000.0,"0"
5.0,"0","0",4600000.0,1.15E7,16.0,668.0,6500000.0,3100000.0,1.02E7,5500000.0,"1"
3.0,"0","1",6100000.0,2.13E7,2.0,387.0,7100000.0,3100000.0,1.63E7,4100000.0,"1"
0.0,"0","1",1500000.0,4100000.0,12.0,789.0,3600000.0,1600000.0,5800000.0,1300000.0,"1"
0.0,"1","1",400000.0,900000.0,2.0,855.0,-100000.0,500000.0,1300000.0,400000.0,"1"
0.0,"0","0",8700000.0,3.36E7,14.0,751.0,7100000.0,1.37E7,2.28E7,7000000.0,"1"
3.0,"0","0",7000000.0,2.16E7,12.0,739.0,1600000.0,7600000.0,2.45E7,8400000.0,"1"
4.0,"1","0",4700000.0,1.31E7,14.0,492.0,1000000.0,4500000.0,1.41E7,6400000.0,"0"
4.0,"0","1",7600000.0,2.38E7,16.0,896.0,3700000.0,4500000.0,1.54E7,6400000.0,"1"
1.0,"0","1",9200000.0,2.45E7,4.0,545.0,2.57E7,0.0,2.06E7,1.33E7,"0"
5.0,"0","0",9400000.0,3.68E7,20.0,891.0,1.39E7,1.66E7,1.93E7,8900000.0,"1"
0.0,"1","0",4800000.0,1.51E7,6.0,848.0,1300000.0,300000.0,1.88E7,3500000.0,"1"
3.0,"0","1",600000.0,2400000.0,12.0,884.0,600000.0,800000.0,1400000.0,600000.0,"1"
3.0,"1","1",4900000.0,1.43E7,14.0,439.0,1.03E7,5600000.0,1.74E7,5100000.0,"0"
3.0,"1","1",3300000.0,8500000.0,12.0,586.0,7500000.0,5100000.0,7800000.0,3900000.0,"1"
3.0,"1","1",9100000.0,1.88E7,20.0,308.0,1.45E7,1.02E7,2.05E7,4800000.0,"0"
5.0,"1","0",6100000.0,2.35E7,16.0,300.0,300000.0,700000.0,2.28E7,4800000.0,"0"
3.0,"1","1",8400000.0,1.96E7,2.0,741.0,2.15E7,200000.0,1.87E7,8300000.0,"1"
4.0,"1","0",7900000.0,3.14E7,8.0,698.0,1.65E7,1.14E7,2.87E7,5100000.0,"1"
2.0,"0","1",6100000.0,2.23E7,10.0,733.0,1.21E7,9700000.0,1.72E7,5600000.0,"1"
3.0,"0","1",2000000.0,4200000.0,16.0,571.0,1700000.0,3900000.0,5800000.0,1300000.0,"1"
3.0,"1","1",9900000.0,2.99E7,20.0,490.0,1.05E7,9100000.0,2.71E7,7400000.0,"0"
2.0,"0","0",9500000.0,2.54E7,16.0,451.0,1.9E7,2900000.0,3.38E7,1.14E7,"0"
4.0,"1","1",1900000.0,6800000.0,6.0,559.0,3600000.0,2200000.0,6200000.0,1200000.0,"1"
4.0,"1","1",6900000.0,2.14E7,10.0,577.0,1.25E7,2200000.0,1.49E7,6300000.0,"1"
2.0,"0","1",1500000.0,5000000.0,4.0,613.0,4400000.0,1300000.0,5200000.0,2100000.0,"1"
4.0,"0","0",1900000.0,3800000.0,20.0,785.0,1000000.0,600000.0,6100000.0,1500000.0,"1"
0.0,"1","1",2300000.0,6000000.0,8.0,690.0,5500000.0,2900000.0,6000000.0,2000000.0,"1"
2.0,"0","0",7800000.0,1.71E7,14.0,351.0,1.9E7,7200000.0,1.93E7,7100000.0,"0"
